EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes
1589386667.867702,1589386667.971339,1.1,1589386667.9859898,1589386668.072414,1.1
1589386668.213364,1589386668.315726,0.0,1589386668.3229492,1589386668.417226,0.0
1589386668.76459,1589386668.866003,0.1,1589386668.877067,1589386668.9744692,0.1
1589386669.108404,1589386669.208524,0.1,1589386669.2196631,1589386669.3132539,0.1
1589386669.44827,1589386669.545988,0.0,1589386669.5533829,1589386669.652,0.0
1589386669.785312,1589386669.8820858,0.0,1589386669.8893461,1589386669.992376,0.0
1589386670.3378391,1589386670.433534,1.0,1589386670.4445922,1589386670.546109,1.0
1589386670.6764932,1589386670.770615,1.1,1589386670.785547,1589386670.883589,1.1
1589386671.02077,1589386671.117822,1.1,1589386671.131841,1589386671.225953,1.1
1589386671.362158,1589386671.463499,0.0,1589386671.470765,1589386671.572576,0.0
1589386671.914829,1589386672.0115619,0.1,1589386672.0228329,1589386672.11809,0.1
1589386672.254456,1589386672.3489668,0.0,1589386672.3558972,1589386672.3612108,0.0
1589386672.577394,1589386672.6804018,1.0,1589386672.691797,1589386672.785356,1.0
1589386672.922231,1589386673.022309,1.1,1589386673.037007,1589386673.1279519,1.1
1589386673.475991,1589386673.572924,0.1,1589386673.584512,1589386673.682455,0.1
1589386673.814347,1589386673.9111428,0.1,1589386673.922412,1589386674.0193129,0.0
1589386674.1545758,1589386674.2534862,0.0,1589386674.2607071,1589386674.362925,0.0
1589386674.4945762,1589386674.590996,1.1,1589386674.605005,1589386674.702938,0.1
1589386675.048293,1589386675.143523,1.1,1589386675.1591911,1589386675.259118,1.1
1589386675.3852632,1589386675.484818,0.1,1589386675.496195,1589386675.589599,0.1
1589386675.748866,1589386675.844913,0.1,1589386675.852652,1589386675.853529,0.1
1589386676.060699,1589386676.155935,0.0,1589386676.163287,1589386676.1648908,0.0
1589386676.6112,1589386676.707571,0.0,1589386676.714943,1589386676.7150369,0.0
1589386676.931697,1589386677.0305321,1.1,1589386677.045363,1589386677.1362638,0.1
1589386677.276026,1589386677.374354,0.0,1589386677.381707,1589386677.483119,0.1
1589386677.6148741,1589386677.704179,1.1,1589386677.719533,1589386677.719538,1.0
1589386678.164481,1589386678.261322,1.1,1589386678.275732,1589386678.370031,1.1
1589386678.512083,1589386678.608852,0.0,1589386678.615938,1589386678.619095,0.0
1589386678.836194,1589386678.935235,0.1,1589386678.9464478,1589386679.040583,0.1
1589386679.1768289,1589386679.2754948,0.0,1589386679.282416,1589386679.383541,0.0
1589386679.724926,1589386679.8215208,1.0,1589386679.832834,1589386679.929364,1.0
1589386680.0694761,1589386680.164802,1.1,1589386680.1800058,1589386680.272864,1.1
1589386680.411765,1589386680.517084,0.1,1589386680.5278661,1589386680.6199849,0.1
1589386680.75355,1589386680.855263,1.0,1589386680.8665888,1589386680.961442,1.0
1589386681.307888,1589386681.406941,0.0,1589386681.413698,1589386681.511261,0.0
1589386681.650368,1589386681.7503748,1.0,1589386681.760899,1589386681.854254,1.0
1589386682.029032,1589386682.1261828,1.0,1589386682.1373608,1589386682.23202,1.0
1589386682.368045,1589386682.46072,1.1,1589386682.476128,1589386682.576149,1.1
1589386682.9175029,1589386683.017647,1.1,1589386683.0328581,1589386683.124616,1.1
1589386683.259861,1589386683.365623,1.0,1589386683.377217,1589386683.466611,0.0
1589386683.609196,1589386683.710665,0.0,1589386683.7171571,1589386683.818385,0.1
1589386683.946208,1589386684.0434382,0.1,1589386684.055063,1589386684.153295,0.1
1589386684.497213,1589386684.597899,1.1,1589386684.6133602,1589386684.702634,0.1
1589386684.844919,1589386684.937919,1.1,1589386684.952776,1589386685.050446,1.1
1589386685.185468,1589386685.280916,1.1,1589386685.295174,1589386685.3898509,1.1
1589386685.525538,1589386685.626715,0.1,1589386685.638007,1589386685.733608,0.1
1589386686.081173,1589386686.1814861,0.0,1589386686.18864,1589386686.29014,0.0
1589386686.416173,1589386686.5172539,1.0,1589386686.5275562,1589386686.620702,1.0
1589386686.756746,1589386686.861569,1.0,1589386686.8733099,1589386686.965905,1.0
1589386687.1034062,1589386687.203257,1.1,1589386687.2187562,1589386687.314068,1.1
1589386687.662372,1589386687.758966,0.1,1589386687.7707388,1589386687.870337,0.1
1589386687.9997592,1589386688.1018848,0.0,1589386688.108414,1589386688.205068,0.0
1589386688.34423,1589386688.443201,0.1,1589386688.454755,1589386688.550915,0.1
1589386688.684033,1589386688.7849548,1.0,1589386688.791463,1589386688.895805,1.1
1589386689.230273,1589386689.3316119,1.0,1589386689.342109,1589386689.4365902,1.0
1589386689.578348,1589386689.672883,1.1,1589386689.688235,1589386689.789054,1.1
1589386689.916054,1589386690.012747,0.1,1589386690.023961,1589386690.119875,0.1
1589386690.258701,1589386690.351569,1.1,1589386690.366441,1589386690.465285,1.1
1589386690.816206,1589386690.91341,0.1,1589386690.924522,1589386691.023444,0.1
1589386691.163081,1589386691.2671008,0.0,1589386691.274015,1589386691.368154,0.0
1589386691.512307,1589386691.6120121,1.1,1589386691.626553,1589386691.7188458,1.1
1589386691.8568552,1589386691.857274,0.1,1589386691.864428,1589386691.961542,0.1
1589386692.302732,1589386692.401234,1.1,1589386692.416262,1589386692.510368,1.1
1589386692.6483479,1589386692.751458,0.0,1589386692.758362,1589386692.855569,1.1
1589386692.99293,1589386693.084088,0.0,1589386693.091122,1589386693.095722,0.0
1589386693.305055,1589386693.405963,0.0,1589386693.41242,1589386693.512198,0.1
1589386888.1493728,1589386888.250762,0.1,1589386888.261649,1589386888.353502,0.1
1589386888.492445,1589386888.595396,1.1,1589386888.610804,1589386888.69613,1.1
1589386888.883074,1589386888.981382,1.1,1589386888.996486,1589386889.087206,1.0
1589386889.3788779,1589386889.481877,0.0,1589386889.5008168,1589386889.58291,0.0
