EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386552.751422,1589386552.85305,1.0,1589386552.864387,1589386552.958681,1.0,0,0.0,0.10162806510925293,0.09429407119750977
1589386553.3033469,1589386553.400846,1.1,1589386553.4158762,1589386553.509008,1.1,0,0.0,0.09749913215637207,0.09313178062438965
1589386553.6465821,1589386553.747956,0.1,1589386553.758879,1589386553.85149,1.0,2,1.0,0.10137391090393066,0.09261107444763184
1589386553.984086,1589386553.986351,1.1,1589386553.995806,1589386554.086457,1.1,0,0.0,0.0022649765014648438,0.09065103530883789
1589386554.2199528,1589386554.317517,1.1,1589386554.332816,1589386554.425565,1.1,0,0.0,0.0975642204284668,0.09274911880493164
1589386554.774824,1589386554.871992,0.0,1589386554.879603,1589386554.9835,0.0,0,0.0,0.0971682071685791,0.1038970947265625
1589386555.113549,1589386555.211582,0.1,1589386555.2229528,1589386555.317201,0.1,0,0.0,0.09803295135498047,0.09424805641174316
1589386555.452372,1589386555.551612,1.1,1589386555.566394,1589386555.659956,1.1,0,0.0,0.09923982620239258,0.09356188774108887
1589386555.8551161,1589386555.956921,1.1,1589386555.971228,1589386556.0592089,1.1,0,0.0,0.10180497169494629,0.08798098564147949
1589386556.409942,1589386556.506818,1.0,1589386556.518053,1589386556.617595,1.0,0,0.0,0.09687614440917969,0.09954190254211426
1589386556.747345,1589386556.749834,0.0,1589386556.7533581,1589386556.852545,0.0,0,0.0,0.0024890899658203125,0.09918689727783203
1589386556.976937,1589386557.0735831,1.0,1589386557.0853062,1589386557.180511,1.0,0,0.0,0.09664607048034668,0.09520483016967773
1589386557.3148532,1589386557.415047,0.0,1589386557.4219918,1589386557.522727,1.1,2,1.0,0.10019373893737793,0.10073518753051758
1589386557.866399,1589386557.9656918,0.0,1589386557.972793,1589386558.077156,0.0,0,0.0,0.09929275512695312,0.10436296463012695
1589386558.206521,1589386558.304106,0.0,1589386558.311274,1589386558.4105878,0.0,0,0.0,0.09758496284484863,0.09931373596191406
1589386558.5425222,1589386558.645667,0.1,1589386558.656142,1589386558.748408,0.1,0,0.0,0.10314488410949707,0.09226608276367188
1589386559.3192132,1589386559.416123,0.1,1589386559.427317,1589386559.522753,0.1,0,0.0,0.09690976142883301,0.09543609619140625
