1st node, 2nd node, Step, timestamp
Node6,Node5,3,1589488711.572198
Node6,Node5,4,1589488711.573667
Node6,Node7,1,1589488711.5807428
Node6,Node7,2,1589488711.703431
Node7,Node6,3,1589488711.631352
Node7,Node6,4,1589488711.703616
Node0,Node1,1,1589488715.478103
Node0,Node1,2,1589488715.590396
Node1,Node0,3,1589488715.5543308
Node1,Node0,4,1589488715.590475
Node1,Node2,1,1589488715.599861
Node1,Node2,2,1589488715.7180889
Node2,Node1,3,1589488715.6703281
Node2,Node1,4,1589488715.718452
Node2,Node3,1,1589488715.727884
Node2,Node3,2,1589488715.855099
Node3,Node2,3,1589488715.760913
Node3,Node2,4,1589488715.855753
Node3,Node4,1,1589488715.875676
Node3,Node4,2,1589488716.005693
Node4,Node3,3,1589488715.969218
Node4,Node3,4,1589488716.006274
Node4,Node5,1,1589488716.018419
Node4,Node5,2,1589488716.1403189
Node5,Node4,3,1589488716.091893
Node5,Node4,4,1589488716.140513
Node5,Node6,1,1589488716.1558862
Node5,Node6,2,1589488716.176919
Node6,Node5,3,1589488716.162698
Node6,Node5,4,1589488716.177035
Node6,Node7,1,1589488716.193124
Node6,Node7,2,1589488716.2128341
Node7,Node6,3,1589488716.193665
Node7,Node6,4,1589488716.21295
Node0,Node1,1,1589488792.9671512
Node0,Node1,2,1589488792.979711
Node1,Node0,3,1589488792.97024
Node1,Node0,4,1589488792.979962
Node1,Node2,1,1589488792.994615
Node1,Node2,2,1589488793.113813
Node2,Node1,3,1589488793.098345
Node2,Node1,4,1589488793.11408
Node2,Node3,1,1589488793.1237152
Node2,Node3,2,1589488793.247586
Node3,Node2,3,1589488793.185282
Node3,Node2,4,1589488793.247914
Node3,Node4,1,1589488793.264472
Node3,Node4,2,1589488793.387458
Node4,Node3,3,1589488793.2906728
Node4,Node3,4,1589488793.387945
Node4,Node5,1,1589488793.4017348
Node4,Node5,2,1589488793.522826
Node5,Node4,3,1589488793.467776
Node5,Node4,4,1589488793.523051
Node5,Node6,1,1589488793.5342348
Node5,Node6,2,1589488793.655902
Node6,Node5,3,1589488793.600331
Node6,Node5,4,1589488793.656084
Node6,Node7,1,1589488793.66902
Node6,Node7,2,1589488793.790603
Node7,Node6,3,1589488793.706312
Node7,Node6,4,1589488793.790944
Node0,Node1,1,1589488797.872552
Node0,Node1,2,1589488797.9879491
Node1,Node0,3,1589488797.88177
Node1,Node0,4,1589488797.9883132
Node1,Node2,1,1589488798.0018811
Node1,Node2,2,1589488798.1255171
Node2,Node1,3,1589488798.073347
Node2,Node1,4,1589488798.125977
Node2,Node3,1,1589488798.1390562
Node2,Node3,2,1589488798.258935
Node3,Node2,3,1589488798.176797
Node3,Node2,4,1589488798.259181
Node3,Node4,1,1589488798.268662
Node3,Node4,2,1589488798.392716
Node4,Node3,3,1589488798.301503
Node4,Node3,4,1589488798.393086
Node4,Node5,1,1589488798.409646
Node4,Node5,2,1589488798.426225
Node5,Node4,3,1589488798.417071
Node5,Node4,4,1589488798.4264262
Node5,Node6,1,1589488798.433107
Node5,Node6,2,1589488798.554952
Node6,Node5,3,1589488798.5199842
Node6,Node5,4,1589488798.55508
Node6,Node7,1,1589488798.5737338
Node6,Node7,2,1589488798.6939662
Node7,Node6,3,1589488798.625549
Node7,Node6,4,1589488798.6942332
Node0,Node1,1,1589488801.794446
Node0,Node1,2,1589488801.908496
Node1,Node0,3,1589488801.8986912
Node1,Node0,4,1589488801.9086988
Node1,Node2,1,1589488801.9221098
Node1,Node2,2,1589488802.046921
Node2,Node1,3,1589488801.978148
Node2,Node1,4,1589488802.0469928
Node2,Node3,1,1589488802.0637782
Node2,Node3,2,1589488802.186304
Node3,Node2,3,1589488802.093338
Node3,Node2,4,1589488802.186504
Node3,Node4,1,1589488802.195992
Node3,Node4,2,1589488802.21445
Node4,Node3,3,1589488802.2031958
Node4,Node3,4,1589488802.2145731
Node4,Node5,1,1589488802.224697
Node4,Node5,2,1589488802.342823
Node5,Node4,3,1589488802.292722
Node5,Node4,4,1589488802.342985
Node5,Node6,1,1589488802.362547
Node5,Node6,2,1589488802.487041
Node6,Node5,3,1589488802.41171
Node6,Node5,4,1589488802.4875178
Node6,Node7,1,1589488802.501274
Node6,Node7,2,1589488802.519448
Node7,Node6,3,1589488802.5125692
Node7,Node6,4,1589488802.519603
Node0,Node1,1,1589488805.435343
Node0,Node1,2,1589488805.5508852
Node1,Node0,3,1589488805.5321112
Node1,Node0,4,1589488805.5510778
Node1,Node2,1,1589488805.564227
Node1,Node2,2,1589488805.5817652
Node2,Node1,3,1589488805.570196
Node2,Node1,4,1589488805.581911
Node2,Node3,1,1589488805.588476
Node2,Node3,2,1589488805.710698
Node3,Node2,3,1589488805.6584089
Node3,Node2,4,1589488805.7111838
Node3,Node4,1,1589488805.722719
Node3,Node4,2,1589488805.84512
Node4,Node3,3,1589488805.760992
Node4,Node3,4,1589488805.845288
Node4,Node5,1,1589488805.8626182
Node4,Node5,2,1589488805.878487
Node5,Node4,3,1589488805.863184
Node5,Node4,4,1589488805.8787048
Node5,Node6,1,1589488805.885474
Node5,Node6,2,1589488805.9026718
Node6,Node5,3,1589488805.887202
Node6,Node5,4,1589488805.902797
Node6,Node7,1,1589488805.914449
Node6,Node7,2,1589488806.037903
Node7,Node6,3,1589488805.993011
Node7,Node6,4,1589488806.038322
Node0,Node1,1,1589488810.5250611
Node0,Node1,2,1589488810.6346
Node1,Node0,3,1589488810.608968
Node1,Node0,4,1589488810.634668
Node1,Node2,1,1589488810.647777
Node1,Node2,2,1589488810.770567
Node2,Node1,3,1589488810.72294
Node2,Node1,4,1589488810.770707
Node2,Node3,1,1589488810.7837088
Node2,Node3,2,1589488810.907186
Node3,Node2,3,1589488810.822253
Node3,Node2,4,1589488810.907548
Node3,Node4,1,1589488810.924902
Node3,Node4,2,1589488811.044428
Node4,Node3,3,1589488810.951679
Node4,Node3,4,1589488811.044671
Node4,Node5,1,1589488811.064489
Node4,Node5,2,1589488811.186823
Node5,Node4,3,1589488811.1281931
Node5,Node4,4,1589488811.187066
Node5,Node6,1,1589488811.19613
Node5,Node6,2,1589488811.319576
Node6,Node5,3,1589488811.266311
Node6,Node5,4,1589488811.319746
Node6,Node7,1,1589488811.3290932
Node6,Node7,2,1589488811.455313
Node7,Node6,3,1589488811.367415
Node7,Node6,4,1589488811.4557939
